"","source_id","metabolites","ontology"
"1978858","kegg:C00666","Diaminopimelic acid","Blood"
"1979011","kegg:C00565","Trimethylamine","Blood"
"1979048","kegg:C07437","Phensuximide","Blood"
"1979293","kegg:C18205","1,1'-Oxybis[2,4-dibromobenzene","Blood"
"1979426","kegg:C06429","Docosahexaenoic acid","Blood"
"1979498","kegg:C00122","Fumaric acid","Blood"
"1979559","kegg:C13440","Cephaloglycin","Blood"
"1979644","kegg:C05767","Uroporphyrin I","Blood"
"1979681","kegg:C02823","Cyanocobalamin","Blood"
"1979754","kegg:C05596","Hydroxyphenylacetylglycine","Blood"
"1979922","kegg:C03272","Tetrahexosylceramide (d18:1/18","Blood"
"1979984","kegg:C02242","7-Methylguanine","Blood"
"1980043","kegg:C01822","Kanamycin","Blood"
"1980191","kegg:C03681","5a-Pregnane-3,20-dione","Blood"
"1980216","kegg:C06350","(R,S)-Norlaudanosoline","Blood"
"1980224","kegg:C00062","L-Arginine","Blood"
"1980242","kegg:C05903","Kaempferol","Blood"
"1980252","kegg:C01405","Aspirin","Blood"
"1980262","kegg:C14762","13S-hydroxyoctadecadienoic aci","Blood"
"1980314","kegg:C00870","4-Nitrophenol","Blood"
"1980363","kegg:C01796","Erythrose","Blood"
"1980373","kegg:C00345","6-Phosphogluconic acid","Blood"
"1980547","kegg:C01709","Hesperetin","Blood"
"1980626","kegg:C15182","Temsirolimus","Blood"
"1980745","kegg:C00268","4a-Carbinolamine tetrahydrobio","Blood"
"1980759","kegg:C16634","5-Fluorouridine monophosphate","Blood"
"1980779","kegg:C07231","Latamoxef","Blood"
"1980790","kegg:C07005","Flunisolide","Blood"
"1980815","kegg:C00571","Cyclohexylamine","Blood"
"1980858","kegg:C05961","6-Keto-prostaglandin F1a","Blood"
"1980897","kegg:C11583","4-Glutathionyl cyclophosphamid","Blood"
"1980918","kegg:C01152","3-Methylhistidine","Blood"
"1980942","kegg:C00021","S-Adenosylhomocysteine","Blood"
"1980984","kegg:C11133","Estrone glucuronide","Blood"
"1981088","kegg:C14766","9-OxoODE","Blood"
"1981101","kegg:C14767","Alpha-dimorphecolic acid","Blood"
"1981138","kegg:C14807","12-KETE","Blood"
"1981455","kegg:C02567","N1-Acetylspermine","Blood"
"1981502","kegg:C06978","Encainide","Blood"
"1981526","kegg:C00580","Dimethylsulfide","Blood"
"1981543","kegg:C07122","Melphalan","Blood"
"1981626","kegg:C05465","Taurochenodesoxycholic acid","Blood"
"1981841","kegg:C01467","m-Cresol","Blood"
"1981922","kegg:C02059","Phytonadione","Blood"
"1981926","kegg:C02140","Corticosterone","Blood"
"1982060","kegg:C16460","Beryllium","Blood"
"1982113","kegg:C00209","Oxalic acid","Blood"
"1982136","kegg:C06683","Ceftriaxone","Blood"
"1982282","kegg:C00794","Sorbitol","Blood"
"1982435","kegg:C08601","Lutein","Blood"
"1982507","kegg:C02356","L-Alpha-aminobutyric acid","Blood"
"1982529","kegg:C12739","5'-Deoxy-5-fluorouridine","Blood"
"1982547","kegg:C01181","4-Trimethylammoniobutanoic aci","Blood"
"1982666","kegg:C13173","Roxithromycin","Blood"
"1982675","kegg:C00956","Aminoadipic acid","Blood"
"1982709","kegg:C07928","Chlorphenesin","Blood"
"1982726","kegg:C00049","L-Aspartic acid","Blood"
"1982767","kegg:C07117","Meclofenamic acid","Blood"
"1982781","kegg:C09731","Epigallocatechin gallate","Blood"
"1982863","kegg:C16650","5-Hydroxyvalproic acid","Blood"
"1982942","kegg:C07816","Mometasone","Blood"
"1983072","kegg:C14594","Tetrahydrodeoxycortisol","Blood"
"1983080","kegg:C07422","Pentobarbital","Blood"
"1983091","kegg:C14390","Heptanal","Blood"
"1983141","kegg:C00035","Guanosine diphosphate","Blood"
"1983155","kegg:C00310","D-Xylulose","Blood"
"1983165","kegg:C00508","L-Ribulose;","Blood"
"1983202","kegg:C07837","Fomepizole","Blood"
"1983261","kegg:C07310","Spironolactone","Blood"
"1983373","kegg:C16626","Albendazole sulfone","Blood"
"1983446","kegg:C00294","Inosine","Blood"
"1983480","kegg:C07339","Quinacrine","Blood"
"1983508","kegg:C00469","Ethanol","Blood"
"1983612","kegg:C03134","N,N-Dimethylformamide","Blood"
"1983615","kegg:C00805","Salicylic acid","Blood"
"1983662","kegg:C01477","Apigenin","Blood"
"1983691","kegg:C01967","Coenzyme Q9","Blood"
"1983784","kegg:C06686","Griseofulvin","Blood"
"1983894","kegg:C06958","Diltiazem","Blood"
"1983921","kegg:C00521","D-Limonene","Blood"
"1983931","kegg:C07471","Methacholine","Blood"
"1984054","kegg:C07443","Phenytoin","Blood"
"1984089","kegg:C00212","Adenosine","Blood"
"1984269","kegg:C07913","Xylometazoline","Blood"
"1984305","kegg:C07547","Tubocurarine","Blood"
"1984360","kegg:C05349","Ciprofloxacin","Blood"
"1984392","kegg:C07120","Megestrol","Blood"
"1984404","kegg:C02135","Angiotensin II","Blood"
"1984407","kegg:C07908","Mycophenolate mofetil","Blood"
"1984451","kegg:C06832","Astemizole","Blood"
"1984719","kegg:C08497","2-Hexenal","Blood"
"1984837","kegg:C08261","Azelaic acid","Blood"
"1984899","kegg:C13916","Cer(d18:1/14:0)","Blood"
"1984999","kegg:C06839","Azlocillin","Blood"
"1985006","kegg:C05414","Phytofluene","Blood"
"1985022","kegg:C05905","Cyanidin","Blood"
"1985058","kegg:C07654","Methacycline","Blood"
"1985183","kegg:C00407","L-Isoleucine","Blood"
"1985195","kegg:C01601","Pelargonic acid","Blood"
"1985204","kegg:C19632","Kojibiose","Blood"
"1985254","kegg:C07649","Fluorouracil","Blood"
"1985317","kegg:C16576","Norcodeine","Blood"
"1985326","kegg:C14552","11-Ketoetiocholanolone","Blood"
"1985362","kegg:C01438","Methane","Blood"
"1985373","kegg:C14153","Alpha-Tocotrienol","Blood"
"1985454","kegg:C06152","muco-Inositol","Blood"
"1985533","kegg:C07054","Isoniazid","Blood"
"1985543","kegg:C07184","Valaciclovir","Blood"
"1985564","kegg:C06424","Myristic acid","Blood"
"1985605","kegg:C09727","Epicatechin","Blood"
"1985652","kegg:C07538","Benzphetamine","Blood"
"1985680","kegg:C07531","Prilocaine","Blood"
"1985689","kegg:C11042","Hexachlorobenzene","Blood"
"1985774","kegg:C07210","Zidovudine","Blood"
"1985811","kegg:C01588","Ibuprofen","Blood"
"1985921","kegg:C06266","Boron","Blood"
"1986020","kegg:C05843","N1-Methyl-4-pyridone-3-carboxa","Blood"
"1986149","kegg:C07360","Oxybutynin","Blood"
"1986211","kegg:C00861","L-Rhamnulose","Blood"
"1986456","kegg:C06883","Cefoperazone","Blood"
"1986478","kegg:C06890","Ceftizoxime","Blood"
"1986491","kegg:C07036","Guanethidine","Blood"
"1986610","kegg:C15473","Lithium","Blood"
"1986832","kegg:C07663","Moxifloxacin","Blood"
"1986856","kegg:C00639","Prostaglandin F2a","Blood"
"1986935","kegg:C00913","3-Methyladenine","Blood"
"1986948","kegg:C05377","Menadione","Blood"
"1986958","kegg:C00217","D-Glutamic acid","Blood"
"1986964","kegg:C07851","Oxyphencyclimine","Blood"
"1986992","kegg:C18145","trans-Nonachlor","Blood"
"1987045","kegg:C14771","14,15-Epoxy-5,8,11-eicosatrien","Blood"
"1987055","kegg:C06924","Clozapine","Blood"
"1987075","kegg:C07116","Meclizine","Blood"
"1987112","kegg:C07571","Fluvoxamine","Blood"
"1987169","kegg:C07861","Tridihexethyl","Blood"
"1987250","kegg:C00852","Chlorogenic acid","Blood"
"1987267","kegg:C12871","Lopinavir","Blood"
"1987282","kegg:C02455","1-Phenylethylamine","Blood"
"1987338","kegg:C17349","Guanidine","Blood"
"1987371","kegg:C00233","Ketoleucine","Blood"
"1987376","kegg:C00026","Oxoglutaric acid","Blood"
"1987446","kegg:C01789","Campesterol","Blood"
"1987462","kegg:C06972","delta9-Tetrahydrocannabinol","Blood"
"1987464","kegg:C06541","Deserpidine","Blood"
"1987474","kegg:C06501","O-Phosphotyrosine","Blood"
"1987514","kegg:C05490","11-Dehydrocorticosterone","Blood"
"1987525","kegg:C07045","Hydroxyzine","Blood"
"1987556","kegg:C00319","Sphingosine","Blood"
"1987636","kegg:C13800","10-Nitrolinoleic acid","Blood"
"1987655","kegg:C08164","Nilutamide","Blood"
"1987663","kegg:C00383","Malonic acid","Blood"
"1987671","kegg:C07171","Trihexyphenidyl","Blood"
"1987690","kegg:C00078","L-Tryptophan","Blood"
"1987693","kegg:C06939","Dantrolene","Blood"
"1987715","kegg:C08323","Nervonic acid","Blood"
"1987751","kegg:C01479","Phenyllactic acid","Blood"
"1987757","kegg:C16884","D-Threitol","Blood"
"1987787","kegg:C07104","Loxapine","Blood"
"1987792","kegg:C19609","Nickel","Blood"
"1987838","kegg:C04148","Alpha-N-Phenylacetyl-L-glutami","Blood"
"1987840","kegg:C05595","4-Hydroxyphenylacetylglutamine","Blood"
"1987855","kegg:C07632","3a,17a-Dihydroxy-5b-androstane","Blood"
"1987858","kegg:C05580","3,4-Dihydroxymandelic acid","Blood"
"1987876","kegg:C00583","Propylene glycol","Blood"
"1987890","kegg:C05623","Isoquercitrin","Blood"
"1987904","kegg:C07139","Ticarcillin","Blood"
"1987951","kegg:C03465","3-Methyl-2-oxovaleric acid","Blood"
"1987971","kegg:C06665","Imipenem","Blood"
"1987984","kegg:C04577","15-KETE","Blood"
"1987993","kegg:C01089","3-Hydroxybutyric acid","Blood"
"1988042","kegg:C16553","4-Hydroxyifosfamide","Blood"
"1988105","kegg:C07607","Gonadorelin","Blood"
"1988113","kegg:C05631","Eriodictyol","Blood"
"1988128","kegg:C10164","Picolinic acid","Blood"
"1988138","kegg:C00530","Hydroquinone","Blood"
"1988148","kegg:C05594","Vanylglycol","Blood"
"1988160","kegg:C00607","Chondroitin sulfate","Blood"
"1988161","kegg:C00634","Chondroitin 4-sulfate","Blood"
"1988242","kegg:C08166","Toremifene","Blood"
"1988257","kegg:C03283","L-2,4-diaminobutyric acid","Blood"
"1988291","kegg:C07417","Penciclovir","Blood"
"1988301","kegg:C00931","Porphobilinogen","Blood"
"1988310","kegg:C00711","Malic acid","Blood"
"1988323","kegg:C00918","Chloramphenicol","Blood"
"1988326","kegg:C20190","Diadenosine hexaphosphate","Blood"
"1988342","kegg:C01190","Glucosylceramide (d18:1/26:0)","Blood"
"1988371","kegg:C00025","Famotidine","Blood"
"1988399","kegg:C06943","Desipramine","Blood"
"1988440","kegg:C06874","Carteolol","Blood"
"1988450","kegg:C07086","Phenylacetic acid","Blood"
"1988471","kegg:C17644","Ursocholic acid","Blood"
"1988479","kegg:C07366","Prazepam","Blood"
"1988489","kegg:C00259","L-Arabinose","Blood"
"1988496","kegg:C07252","Naloxone","Blood"
"1988501","kegg:C07568","Ziprasidone","Blood"
"1988561","kegg:C00533","Nitric oxide","Blood"
"1988585","kegg:C07022","Glyburide","Blood"
"1988607","kegg:C00387","Guanosine","Blood"
"1988630","kegg:C07246","Sertraline","Blood"
"1988692","kegg:C00380","Cytosine","Blood"
"1988711","kegg:C07400","Pralidoxime","Blood"
"1988731","kegg:C07536","Amobarbital","Blood"
"1988771","kegg:C03672","Hydroxyphenyllactic acid","Blood"
"1988814","kegg:C00750","Spermine","Blood"
"1988828","kegg:C07566","Pimozide","Blood"
"1988857","kegg:C02470","Xanthurenic acid","Blood"
"1988860","kegg:C00402","D-Aspartic acid","Blood"
"1988883","kegg:C01413","Cadmium","Blood"
"1988921","kegg:C07529","Bupivacaine","Blood"
"1988922","kegg:C14835","9,10,13-TriHOME","Blood"
"1988930","kegg:C07622","Voriconazole","Blood"
"1988938","kegg:C00132","Methanol","Blood"
"1988976","kegg:C00757","Berberine","Blood"
"1988978","kegg:C07481","Caffeine","Blood"
"1988985","kegg:C06840","Aztreonam","Blood"
"1988996","kegg:C20384","Bisnorbiotin","Blood"
"1989017","kegg:C19440","Malondialdehyde","Blood"
"1989048","kegg:C06696","Lead","Blood"
"1989053","kegg:C07534","17a-Ethynylestradiol","Blood"
"1989098","kegg:C00399","Ubiquinone-1","Blood"
"1989122","kegg:C07056","Isoproterenol","Blood"
"1989125","kegg:C01108","1,2,3-Trihydroxybenzene","Blood"
"1989166","kegg:C01417","Cyanate","Blood"
"1989203","kegg:C06805","Acetazolamide","Blood"
"1989213","kegg:C07921","Metyrosine","Blood"
"1989224","kegg:C14152","Beta-tocopherol","Blood"
"1989244","kegg:C07658","Sulfadiazine","Blood"
"1989252","kegg:C07394","Paclitaxel","Blood"
"1989307","kegg:C07445","Pindolol","Blood"
"1989312","kegg:C02452","Perillyl alcohol","Blood"
"1989328","kegg:C07592","Colchicine","Blood"
"1989368","kegg:C00105","Uridine 5'-monophosphate","Blood"
"1989381","kegg:C01516","Morphine","Blood"
"1989396","kegg:C07427","Perphenazine","Blood"
"1989404","kegg:C11723","Hexobarbital","Blood"
"1989423","kegg:C15557","Lithocholic acid glycine conju","Blood"
"1989482","kegg:C00236","Glyceric acid 1,3-biphosphate","Blood"
"1989491","kegg:C11368","Grepafloxacin","Blood"
"1989506","kegg:C03284","(S)-b-aminoisobutyric acid","Blood"
"1989515","kegg:C10788","Ellagic acid","Blood"
"1989535","kegg:C12512","Eplerenone","Blood"
"1989544","kegg:C06124","Sphing-4-enine-1-phosphate","Blood"
"1989559","kegg:C11301","Sulfolithocholylglycine","Blood"
"1989562","kegg:C07144","Orciprenaline","Blood"
"1989566","kegg:C00627","Pyridoxine 5'-phosphate","Blood"
"1989583","kegg:C10172","Proline betaine","Blood"
"1989587","kegg:C07356","Oxaprozin","Blood"
"1989633","kegg:C05300","16a-Hydroxyestrone","Blood"
"1989642","kegg:C00168","Hydroxypyruvic acid","Blood"
"1989691","kegg:C00806","(±)-Tryptophan","Blood"
"1989702","kegg:C08281","Behenic acid","Blood"
"1989721","kegg:C08158","Testosterone Propionate","Blood"
"1989749","kegg:C07841","Levetiracetam","Blood"
"1989784","kegg:C01553","Amsacrine","Blood"
"1989791","kegg:C12811","Allylestrenol","Blood"
"1989854","kegg:C07204","Vincristine","Blood"
"1989898","kegg:C16559","Isophosphamide mustard","Blood"
"1989905","kegg:C00218","Methylamine","Blood"
"1989922","kegg:C16569","Glycinexylidide","Blood"
"1989940","kegg:C00504","Folic acid","Blood"
"1989999","kegg:C00881","Deoxycytidine","Blood"
"1990012","kegg:C06878","Cefadroxil","Blood"
"1990053","kegg:C05965","12(S)-HPETE","Blood"
"1990082","kegg:C06947","Dextromethorphan","Blood"
"1990122","kegg:C07072","Losartan","Blood"
"1990160","kegg:C14778","16(R)-HETE","Blood"
"1990179","kegg:C07156","Trazodone","Blood"
"1990200","kegg:C13106","Gadodiamide","Blood"
"1990201","kegg:C02294","Methylguanidine","Blood"
"1990234","kegg:C00016","FAD","Blood"
"1990263","kegg:C16555","2-Dechloroethylifosfamide","Blood"
"1990294","kegg:C07251","Nalbuphine","Blood"
"1990310","kegg:C00085","Fructose 6-phosphate","Blood"
"1990322","kegg:C05345","Beta-D-Fructose 6-phosphate","Blood"
"1990371","kegg:C16609","Didemethylcitalopram","Blood"
"1990395","kegg:C16621","1-Methyl-4-nitroimidazole","Blood"
"1990403","kegg:C00187","Cholesterol-ester-pool","Blood"
"1990413","kegg:C00525","D-Tryptophan","Blood"
"1990415","kegg:C01744","Desaminotyrosine","Blood"
"1990430","kegg:C19605","4-(Methylnitrosamino)-1-(3-pyr","Blood"
"1990439","kegg:C05607","D-Phenyllactic acid","Blood"
"1990478","kegg:C00044","Guanosine triphosphate","Blood"
"1990480","kegg:C07670","Repaglinide","Blood"
"1990481","kegg:C10833","Syringic acid","Blood"
"1990489","kegg:C12632","Luteolin 7-O-[beta-D-glucurono","Blood"
"1990496","kegg:C01790","Capreomycin","Blood"
"1990531","kegg:C08052","Cinoxacin","Blood"
"1990552","kegg:C07370","Prednisone","Blood"
"1990553","kegg:C01087","D-2-Hydroxyglutaric acid","Blood"
"1990579","kegg:C19317","Allyl isothiocyanate","Blood"
"1990615","kegg:C07037","Guanfacine","Blood"
"1990617","kegg:C00742","Fluoride","Blood"
"1990620","kegg:C01769","(S)-Acetoin;","Blood"
"1990628","kegg:C00466","Acetoin","Blood"
"1990703","kegg:C11729","Hetacillin","Blood"
"1990709","kegg:C01015","4-Hydroxy-L-proline","Blood"
"1990783","kegg:C03665","2-Aminoisobutyric acid","Blood"
"1990786","kegg:C05299","2-Methoxyestrone","Blood"
"1990823","kegg:C16150","Nicotine","Blood"
"1990835","kegg:C00265","1,4-Dithiothreitol","Blood"
"1990873","kegg:C07198","Methyltestosterone","Blood"
"1990888","kegg:C12786","Dinoprost Tromethamine","Blood"
"1990902","kegg:C07877","Chloroprocaine","Blood"
"1990904","kegg:C10719","Nordihydroguaiaretate","Blood"
"1990986","kegg:C07598","Succimer","Blood"
"1990988","kegg:C00051","Glutathione","Blood"
"1991001","kegg:C02845","Butanone","Blood"
"1991030","kegg:C13736","Memantine","Blood"
"1991039","kegg:C07372","Probenecid","Blood"
"1991074","kegg:C00547","Norepinephrine","Blood"
"1991077","kegg:C07263","Nevirapine","Blood"
"1991110","kegg:C02737","PS(16:0/16:0)","Blood"
"1991200","kegg:C00559","Deoxyadenosine","Blood"
"1991214","kegg:C06535","Physostigmine","Blood"
"1991248","kegg:C08007","Buprenorphine","Blood"
"1991276","kegg:C08580","Astaxanthin","Blood"
"1991308","kegg:C06462","Leukotriene F4","Blood"
"1991324","kegg:C07236","Rimantadine","Blood"
"1991360","kegg:C12753","Troleandomycin","Blood"
"1991391","kegg:C16300","Stearidonic acid","Blood"
"1991395","kegg:C00258","Glyceric acid","Blood"
"1991404","kegg:C08109","Loracarbef","Blood"
"1991413","kegg:C07506","Propantheline","Blood"
"1991417","kegg:C07318","Sulfisoxazole","Blood"
"1991458","kegg:C14732","5-KETE","Blood"
"1991461","kegg:C12009","Telithromycin","Blood"
"1991498","kegg:C01260","Diadenosine tetraphosphate","Blood"
"1991505","kegg:C04707","15-Keto-prostaglandin E2","Blood"
"1991513","kegg:C02353","Adenosine 2',3'-cyclic phospha","Blood"
"1991531","kegg:C00148","L-Proline","Blood"
"1991545","kegg:C00038","Zinc (II) ion","Blood"
"1991580","kegg:C16552","Nornitrogen mustard","Blood"
"1991592","kegg:C08187","Cabergoline","Blood"
"1991601","kegg:C07525","Ketamine","Blood"
"1991614","kegg:C05954","Prostaglandin B2","Blood"
"1991627","kegg:C01541","Warfarin","Blood"
"1991644","kegg:C12140","Malvidin 3-glucoside","Blood"
"1991649","kegg:C07023","Granisetron","Blood"
"1991654","kegg:C08230","Hydroxycobalamin","Blood"
"1991667","kegg:C11736","Floxuridine","Blood"
"1991684","kegg:C14828","9,10-DHOME","Blood"
"1991701","kegg:C16549","alpha-Hydroxy-N-desmethyltamox","Blood"
"1991721","kegg:C07341","Oxamniquine","Blood"
"1991842","kegg:C01290","Lactosylceramide (d18:1/25:0)","Blood"
"1991845","kegg:C00219","Arachidonic acid","Blood"
"1991878","kegg:C16361","1,3,7-Trimethyluricacid;","Blood"
"1991879","kegg:C07375","Procaine","Blood"
"1991881","kegg:C00243","Alpha-Lactose","Blood"
"1991899","kegg:C08073","Natamycin","Blood"
"1991912","kegg:C06973","Doxycycline","Blood"
"1991932","kegg:C05770","Coproporphyrin III","Blood"
"1991940","kegg:C05547","Galactosylhydroxylysine","Blood"
"1991989","kegg:C07267","Nimodipine","Blood"
"1991994","kegg:C07175","Methdilazine","Blood"
"1992021","kegg:C00425","Dehydroascorbic acid","Blood"
"1992038","kegg:C02679","Dodecanoic acid","Blood"
"1992096","kegg:C01937","Methotrexate","Blood"
"1992174","kegg:C06428","Eicosapentaenoic acid","Blood"
"1992205","kegg:C06812","Lincomycin","Blood"
"1992218","kegg:C07551","Pancuronium","Blood"
"1992240","kegg:C00376","Retinal","Blood"
"1992245","kegg:C05904","Pelargonidin","Blood"
"1992247","kegg:C02110","11-cis-Retinaldehyde","Blood"
"1992260","kegg:C08363","Petroselinic acid","Blood"
"1992314","kegg:C00385","Xanthine","Blood"
"1992318","kegg:C11825","Epipregnanolone","Blood"
"1992334","kegg:C16570","4-Hydroxy-2,6-dimethylaniline","Blood"
"1992359","kegg:C00334","Gamma-Aminobutyric acid","Blood"
"1992361","kegg:C07148","Tolbutamide","Blood"
"1992402","kegg:C00047","L-Lysine","Blood"
"1992413","kegg:C18364","Carprofen","Blood"
"1992427","kegg:C07078","Lomefloxacin","Blood"
"1992441","kegg:C00130","Inosinic acid","Blood"
"1992462","kegg:C04555","Dehydroepiandrosterone sulfate","Blood"
"1992484","kegg:C16649","4-Hydroxyvalproic acid","Blood"
"1992542","kegg:C02528","Chenodeoxycholic acid","Blood"
"1992582","kegg:C07306","Octreotide","Blood"
"1992622","kegg:C01762","Xanthosine","Blood"
"1992635","kegg:C07034","Guanabenz","Blood"
"1992637","kegg:C07317","Sulfinpyrazone","Blood"
"1992685","kegg:C02378","Aminocaproic acid","Blood"
"1992708","kegg:C01692","Disulfiram","Blood"
"1992725","kegg:C07142","Tocainide","Blood"
"1992735","kegg:C16677","4-Hydroxyretinoic acid","Blood"
"1992796","kegg:C11153","Teniposide","Blood"
"1992934","kegg:C00430","5-Aminolevulinic acid","Blood"
"1992990","kegg:C01179","4-Hydroxyphenylpyruvic acid","Blood"
"1992995","kegg:C00992","Aquacobalamin","Blood"
"1993040","kegg:C03882","Piperine","Blood"
"1993050","kegg:C16595","4-Hydroxy-5-phenyltetrahydro-1","Blood"
"1993067","kegg:C06848","Betamethasone","Blood"
"1993079","kegg:C07218","Zolmitriptan","Blood"
"1993086","kegg:C12307","Decanal","Blood"
"1993101","kegg:C01330","Sodium","Blood"
"1993148","kegg:C16610","Citalopram propionic acid","Blood"
"1993200","kegg:C00018","Pyridoxal 5'-phosphate","Blood"
"1993201","kegg:C02946","4-Acetamidobutanoic acid","Blood"
"1993225","kegg:C01585","Caproic acid","Blood"
"1993248","kegg:C00295","Orotic acid","Blood"
"1993249","kegg:C17335","3beta,7alpha-Dihydroxy-5-chole","Blood"
"1993268","kegg:C00191","D-Glucuronic acid","Blood"
"1993300","kegg:C07130","Theophylline","Blood"
"1993312","kegg:C07132","Thiethylperazine","Blood"
"1993327","kegg:C15848","Angiotensin III","Blood"
"1993347","kegg:C12012","Tigecycline","Blood"
"1993398","kegg:C12724","Ethynodiol Diacetate","Blood"
"1993402","kegg:C01013","Hydroxypropionic acid","Blood"
"1993403","kegg:C00725","(R)-lipoic acid","Blood"
"1993405","kegg:C16241","(R)-Lipoate;","Blood"
"1993414","kegg:C08082","Tioconazole","Blood"
"1993439","kegg:C05380","Nicotinuric acid","Blood"
"1993471","kegg:C07256","Nefazodone","Blood"
"1993487","kegg:C02924","Dimercaprol","Blood"
"1993493","kegg:C06807","Acetophenazine","Blood"
"1993507","kegg:C07846","Thiamylal","Blood"
"1993511","kegg:C16558","Alcoifosfamide","Blood"
"1993519","kegg:C06886","Cefotetan","Blood"
"1993526","kegg:C07669","Glimepiride","Blood"
"1993565","kegg:C00109","2-Ketobutyric acid","Blood"
"1993599","kegg:C13747","Paraxanthine","Blood"
"1993605","kegg:C02678","Dodecanedioic acid","Blood"
"1993608","kegg:C00022","Pyruvic acid","Blood"
"1993615","kegg:C00796","Dicumarol","Blood"
"1993698","kegg:C07584","Phenindione","Blood"
"1993716","kegg:C08088","Efavirenz","Blood"
"1993718","kegg:C16613","6-thiouric acid","Blood"
"1993756","kegg:C07395","Pamidronate","Blood"
"1993761","kegg:C05100","Ureidoisobutyric acid","Blood"
"1993838","kegg:C05642","Acetyl-N-formyl-5-methoxykynur","Blood"
"1993862","kegg:C14055","Ergoloid mesylate","Blood"
"1993884","kegg:C06197","Diadenosine triphosphate","Blood"
"1993901","kegg:C01407","Benzene","Blood"
"1993920","kegg:C16512","Palmitoylethanolamide","Blood"
"1993928","kegg:C02380","6-Mercaptopurine;","Blood"
"1993936","kegg:C07833","Ethchlorvynol","Blood"
"1993940","kegg:C07965","Tirofiban","Blood"
"1993976","kegg:C07063","Labetalol","Blood"
"1994002","kegg:C00408","L-Pipecolic acid","Blood"
"1994043","kegg:C07657","Netilmicin","Blood"
"1994103","kegg:C00087","Sulfide","Blood"
"1994118","kegg:C07508","Pirenzepine","Blood"
"1994136","kegg:C01005","Phosphoserine","Blood"
"1994152","kegg:C00815","Citramalic acid","Blood"
"1994206","kegg:C07599","Oxypurinol","Blood"
"1994249","kegg:C01691","Diflunisal","Blood"
"1994290","kegg:C06855","Bretylium","Blood"
"1994342","kegg:C12650","Capecitabine","Blood"
"1994362","kegg:C05127","1-Methylhistamine","Blood"
"1994434","kegg:C02862","Butyrylcarnitine","Blood"
"1994459","kegg:C07468","Candesartan","Blood"
"1994519","kegg:C01157","4-Hydroxyproline","Blood"
"1994520","kegg:C07253","Naltrexone","Blood"
"1994635","kegg:C07496","Carbamazepine-10,11-epoxide","Blood"
"1994720","kegg:C01176","17-Hydroxyprogesterone","Blood"
"1994727","kegg:C05435","gamma-Carotene","Blood"
"1994735","kegg:C02216","1-Methyladenine","Blood"
"1994755","kegg:C16578","Morphine-6-glucuronide","Blood"
"1994764","kegg:C05431","Neurosporene","Blood"
"1994780","kegg:C00437","N-Acetylornithine","Blood"
"1994793","kegg:C00803","Valeric acid","Blood"
"1994901","kegg:C11173","SN-38","Blood"
"1994963","kegg:C16643","Morphine-3-glucuronide","Blood"
"1994969","kegg:C00015","Uridine 5'-diphosphate","Blood"
"1995012","kegg:C06880","Cefazolin","Blood"
"1995083","kegg:C00315","Spermidine","Blood"
"1995097","kegg:C06570","Tetracycline","Blood"
"1995127","kegg:C07487","Nitrazepam","Blood"
"1995147","kegg:C05957","Prostaglandin J2","Blood"
"1995167","kegg:C07668","Apraclonidine","Blood"
"1995172","kegg:C00257","Gluconic acid","Blood"
"1995198","kegg:C06909","Cidofovir","Blood"
"1995205","kegg:C00312","L-Threo-2-pentulose","Blood"
"1995269","kegg:C07398","Quinapril","Blood"
"1995295","kegg:C18044","3beta-Hydroxypregn-5-en-20-one","Blood"
"1995299","kegg:C00505","Gentamicin","Blood"
"1995331","kegg:C06884","Ceforanide","Blood"
"1995334","kegg:C01675","Cilastatin","Blood"
"1995357","kegg:C06789","Perchloroethylene","Blood"
"1995387","kegg:C02518","Aminosalicylic Acid","Blood"
"1995393","kegg:C06562","Catechin","Blood"
"1995398","kegg:C05463","Taurodeoxycholic acid","Blood"
"1995460","kegg:C10208","Daidzein","Blood"
"1995469","kegg:C04771","Mimosine","Blood"
"1995474","kegg:C07570","Mirtazapine","Blood"
"1995486","kegg:C07254","Nandrolone","Blood"
"1995488","kegg:C06952","Cimetidine","Blood"
"1995491","kegg:C05551","Penicillin G","Blood"
"1995496","kegg:C08155","Nandrolone phenpropionate","Blood"
"1995502","kegg:C00423","trans-Cinnamic acid","Blood"
"1995506","kegg:C10438","Cinnamic acid","Blood"
"1995554","kegg:C06573","Amphotericin B","Blood"
"1995580","kegg:C13235","Atenolol","Blood"
"1995600","kegg:C06857","Brompheniramine","Blood"
"1995630","kegg:C05828","Methylimidazoleacetic acid","Blood"
"1995675","kegg:C00119","Phosphoribosyl pyrophosphate","Blood"
"1995692","kegg:C00780","Serotonin","Blood"
"1995734","kegg:C06969","Dorzolamide","Blood"
"1995748","kegg:C01620","Threonic acid","Blood"
"1995750","kegg:C11262","Azacitidine","Blood"
"1995777","kegg:C15643","Dexamethasone","Blood"
"1995815","kegg:C06911","Cisplatin","Blood"
"1995857","kegg:C14151","Delta-Tocopherol","Blood"
"1995936","kegg:C11376","SN38 glucuronide","Blood"
"1995949","kegg:C11806","Pantoprazole","Blood"
"1995966","kegg:C07567","Sertindole","Blood"
"1995972","kegg:C07708","Miglitol","Blood"
"1995975","kegg:C07178","Trimethobenzamide","Blood"
"1995996","kegg:C07391","Pyrimethamine","Blood"
